preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=triton,asm_mi308,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
[aiter] WARNING: NUMA balancing is enabled, which may cause errors. It is recommended to disable NUMA balancing by running "sudo sh -c 'echo 0 > /proc/sys/kernel/numa_balancing'" for more details: https://rocm.docs.amd.com/en/latest/how-to/system-optimization/mi300x.html#disable-numa-auto-balancing
[aiter] import [module_aiter_core] under /sgl-workspace/aiter/aiter/jit/module_aiter_core.so
/sgl-workspace/aiter/aiter/ops/triton/gluon/__init__.py:16: UserWarning: [aiter] AITER_USE_SYSTEM_TRITON=1: aiter gluon kernels require triton>=3.6.0, found 3.4.0. Please install a compatible version via .github/scripts/install_triton.sh, otherwise unexpected errors may occur.
  warnings.warn(
[aiter] import [module_fmha_v3_varlen_fwd] under /sgl-workspace/aiter/aiter/jit/module_fmha_v3_varlen_fwd.so
[aiter] type hints mismatch, override to --> fmha_v3_varlen_fwd(q: torch.Tensor, k: torch.Tensor, v: torch.Tensor, cu_seqlens_q: torch.Tensor, cu_seqlens_k: torch.Tensor, max_seqlen_q: int, max_seqlen_k: int, min_seqlen_q: int, dropout_p: float, softmax_scale: float, logits_soft_cap: float, zero_tensors: bool, is_causal: bool, window_size_left: int, window_size_right: int, return_softmax_lse: bool, return_dropout_randval: bool, how_v3_bf16_cvt: int, out: Optional[torch.Tensor] = None, block_table: Optional[torch.Tensor] = None, bias: Optional[torch.Tensor] = None, alibi_slopes: Optional[torch.Tensor] = None, q_descale: Optional[torch.Tensor] = None, k_descale: Optional[torch.Tensor] = None, v_descale: Optional[torch.Tensor] = None, gen: Optional[torch.Generator] = None, cu_seqlens_q_padded: Optional[torch.Tensor] = None, cu_seqlens_k_padded: Optional[torch.Tensor] = None) -> List[torch.Tensor]
[aiter] pciChipId: 0x74a2, CU count: 80
[aiter] LoadKernel: _ZN5aiter30fmha_fwd_hd128_bf16_rtna_groupE hsaco: /sgl-workspace/aiter/hsa//gfx942/fmha_v3_fwd/MI308/fwd_hd128_bf16_rtna_group.co
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,triton,0,193.294,148.238,148.238,1667.2,1520.0,1749.0,438.8,528.0,65.0,46.0,18
sample,triton,1,191.036,149.990,149.990,1774.8,1736.0,1797.0,560.3,580.0,67.0,47.0,19
sample,triton,2,190.675,150.273,150.273,1803.3,1799.0,1806.0,583.5,589.0,69.0,47.0,18
sample,triton,3,191.764,149.420,149.420,1807.5,1807.0,1808.0,585.9,589.0,71.0,47.0,19
sample,triton,4,190.676,150.273,150.273,1808.1,1808.0,1809.0,587.6,593.0,72.0,47.0,18
sample,triton,5,190.679,150.270,150.270,1808.3,1808.0,1809.0,589.5,593.0,74.0,48.0,19
sample,triton,6,190.491,150.418,150.418,1808.4,1808.0,1809.0,591.1,595.0,75.0,48.0,18
sample,triton,7,190.744,150.219,150.219,1808.1,1808.0,1809.0,590.9,593.0,76.0,48.0,19
sample,triton,8,191.081,149.954,149.954,1807.9,1807.0,1809.0,590.3,594.0,77.0,48.0,18
sample,triton,9,190.635,150.305,150.305,1807.6,1807.0,1809.0,591.2,596.0,77.0,48.0,19
sample,triton,10,198.955,144.019,144.019,1758.6,1705.0,1808.0,580.4,590.0,78.0,48.0,19
sample,triton,11,192.779,148.633,148.633,1796.9,1787.0,1803.0,586.6,593.0,78.0,48.0,19
sample,triton,12,190.498,150.413,150.413,1805.4,1805.0,1806.0,591.6,596.0,79.0,48.0,18
sample,triton,13,190.375,150.510,150.510,1806.2,1806.0,1807.0,593.5,597.0,79.0,48.0,19
sample,triton,14,190.569,150.357,150.357,1806.5,1806.0,1807.0,593.6,596.0,80.0,48.0,19
sample,triton,15,190.609,150.325,150.325,1806.4,1806.0,1807.0,592.2,596.0,80.0,48.0,18
sample,triton,16,190.664,150.282,150.282,1806.5,1806.0,1808.0,593.2,596.0,80.0,48.0,19
sample,triton,17,190.511,150.403,150.403,1806.2,1806.0,1807.0,594.9,598.0,80.0,48.0,18
sample,triton,18,190.705,150.250,150.250,1806.4,1806.0,1808.0,593.1,596.0,81.0,49.0,19
sample,triton,19,190.529,150.389,150.389,1806.3,1806.0,1807.0,592.9,595.0,81.0,49.0,18
sample,triton,20,190.691,150.261,150.261,1806.5,1806.0,1808.0,593.1,597.0,81.0,49.0,19
sample,triton,21,190.062,150.758,150.758,1806.4,1806.0,1807.0,594.6,597.0,81.0,49.0,18
sample,triton,22,190.036,150.779,150.779,1806.3,1806.0,1807.0,596.1,600.0,81.0,49.0,19
sample,triton,23,190.478,150.429,150.429,1806.3,1806.0,1807.0,596.1,599.0,81.0,49.0,18
sample,triton,24,190.618,150.318,150.318,1806.3,1806.0,1807.0,595.2,598.0,81.0,49.0,19
sample,triton,25,190.512,150.402,150.402,1806.3,1806.0,1807.0,595.8,599.0,82.0,49.0,18
sample,triton,26,190.392,150.496,150.496,1806.2,1806.0,1807.0,596.2,599.0,82.0,49.0,18
sample,triton,27,191.039,149.987,149.987,1805.9,1805.0,1807.0,594.6,598.0,82.0,49.0,19
sample,triton,28,190.531,150.387,150.387,1805.6,1805.0,1807.0,595.3,598.0,82.0,49.0,18
sample,triton,29,190.693,150.259,150.259,1805.5,1805.0,1806.0,595.1,598.0,82.0,49.0,19
sample,triton,30,193.576,148.021,148.021,1788.9,1763.0,1806.0,591.2,596.0,82.0,49.0,19
