preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,115.798,247.498,247.443,1508.1,1419.0,1601.0,387.0,499.0,57.0,43.0,11
sample,8wave_32x32,1,116.140,246.769,246.714,1657.0,1619.0,1684.0,555.5,591.0,59.0,44.0,11
sample,8wave_32x32,2,177.802,161.189,161.153,1354.4,1182.0,1619.0,468.6,559.0,61.0,44.0,17
sample,8wave_32x32,3,178.696,160.382,160.347,1136.2,1098.0,1186.0,389.1,402.0,61.0,44.0,18
sample,8wave_32x32,4,178.526,160.535,160.500,1100.9,1085.0,1121.0,376.2,379.0,61.0,44.0,17
sample,8wave_32x32,5,178.507,160.552,160.517,1095.2,1083.0,1111.0,373.5,375.0,61.0,44.0,17
sample,8wave_32x32,6,137.604,208.276,208.230,1189.5,1103.0,1378.0,407.3,487.0,62.0,44.0,13
sample,8wave_32x32,7,112.176,255.489,255.432,1535.7,1420.0,1621.0,550.9,594.0,64.0,44.0,11
sample,8wave_32x32,8,161.267,177.716,177.677,1445.0,1240.0,1652.0,517.1,600.0,65.0,44.0,16
sample,8wave_32x32,9,178.444,160.609,160.574,1163.8,1109.0,1244.0,403.9,431.0,65.0,44.0,17
sample,8wave_32x32,10,178.495,160.563,160.527,1106.2,1087.0,1130.0,379.7,385.0,65.0,44.0,17
sample,8wave_32x32,11,178.572,160.494,160.458,1095.6,1083.0,1113.0,374.9,377.0,65.0,44.0,18
sample,8wave_32x32,12,158.214,181.145,181.105,1126.0,1100.0,1219.0,383.1,416.0,64.0,44.0,15
sample,8wave_32x32,13,112.316,255.171,255.114,1438.5,1266.0,1565.0,507.5,569.0,66.0,44.0,11
sample,8wave_32x32,14,139.902,204.856,204.811,1556.2,1387.0,1643.0,562.1,600.0,68.0,45.0,13
sample,8wave_32x32,15,178.629,160.442,160.407,1215.9,1130.0,1348.0,424.4,473.0,68.0,45.0,17
sample,8wave_32x32,16,178.244,160.790,160.754,1116.2,1092.0,1145.0,383.4,391.0,67.0,45.0,17
sample,8wave_32x32,17,177.993,161.016,160.980,1099.3,1086.0,1116.0,376.1,378.0,67.0,45.0,18
sample,8wave_32x32,18,172.920,165.740,165.703,1112.4,1100.0,1129.0,378.9,385.0,66.0,45.0,16
sample,8wave_32x32,19,119.091,240.653,240.600,1310.6,1129.0,1485.0,449.9,528.0,66.0,45.0,12
sample,8wave_32x32,20,119.273,240.287,240.233,1583.8,1511.0,1636.0,569.8,597.0,68.0,45.0,12
sample,8wave_32x32,21,178.274,160.763,160.727,1309.6,1166.0,1535.0,461.4,546.0,69.0,45.0,17
sample,8wave_32x32,22,178.655,160.419,160.384,1132.5,1099.0,1175.0,390.4,403.0,68.0,45.0,17
sample,8wave_32x32,23,177.803,161.188,161.152,1104.3,1089.0,1121.0,378.1,380.0,68.0,45.0,18
sample,8wave_32x32,24,174.331,164.398,164.362,1107.2,1095.0,1117.0,377.4,380.0,67.0,45.0,17
sample,8wave_32x32,25,138.540,206.869,206.823,1204.4,1134.0,1360.0,408.0,471.0,66.0,45.0,13
sample,8wave_32x32,26,112.552,254.635,254.578,1521.5,1402.0,1609.0,539.5,585.0,68.0,45.0,11
sample,8wave_32x32,27,164.251,174.488,174.449,1434.5,1233.0,1638.0,510.9,590.0,69.0,45.0,16
sample,8wave_32x32,28,178.434,160.618,160.583,1163.8,1111.0,1231.0,402.3,425.0,69.0,45.0,17
sample,8wave_32x32,29,178.389,160.659,160.623,1108.4,1090.0,1133.0,379.9,384.0,68.0,45.0,18
sample,8wave_32x32,30,174.619,164.127,164.091,1114.5,1080.0,1129.0,381.2,387.0,67.0,45.0,17
sample,8wave_32x32,31,157.279,182.223,182.182,1150.2,1122.0,1231.0,388.5,416.0,67.0,45.0,15
sample,8wave_32x32,32,113.842,251.749,251.693,1427.4,1268.0,1552.0,497.7,558.0,68.0,45.0,11
sample,8wave_32x32,33,143.848,199.236,199.192,1529.1,1347.0,1633.0,548.1,592.0,69.0,45.0,14
sample,8wave_32x32,34,178.475,160.581,160.545,1210.6,1130.0,1328.0,420.5,464.0,69.0,45.0,18
sample,8wave_32x32,35,178.729,160.353,160.317,1116.9,1093.0,1148.0,383.3,390.0,69.0,45.0,17
sample,8wave_32x32,36,173.898,164.807,164.771,1112.9,1097.0,1127.0,379.6,385.0,68.0,45.0,17
sample,8wave_32x32,37,169.758,168.827,168.790,1132.7,1120.0,1146.0,383.8,389.0,67.0,45.0,16
sample,8wave_32x32,38,121.921,235.068,235.016,1299.3,1143.0,1458.0,444.3,514.0,67.0,45.0,12
sample,8wave_32x32,39,123.402,232.246,232.195,1564.6,1486.0,1618.0,560.4,588.0,69.0,45.0,12
sample,8wave_32x32,40,178.575,160.492,160.456,1289.1,1155.0,1492.0,452.8,530.0,69.0,45.0,18
sample,8wave_32x32,41,178.464,160.591,160.556,1127.6,1097.0,1168.0,388.9,399.0,69.0,45.0,17
sample,8wave_32x32,42,174.495,164.244,164.208,1115.1,1102.0,1129.0,380.7,385.0,68.0,45.0,17
sample,8wave_32x32,43,174.455,164.281,164.245,1127.1,1115.0,1134.0,382.4,386.0,67.0,45.0,17
sample,8wave_32x32,44,136.881,209.378,209.331,1218.8,1127.0,1353.0,412.6,465.0,67.0,45.0,13
sample,8wave_32x32,45,113.142,253.308,253.252,1504.3,1378.0,1596.0,530.3,577.0,69.0,45.0,11
sample,8wave_32x32,46,168.894,169.691,169.653,1405.7,1210.0,1624.0,498.8,582.0,69.0,45.0,17
sample,8wave_32x32,47,178.597,160.471,160.436,1154.1,1108.0,1212.0,399.0,418.0,69.0,46.0,17
sample,8wave_32x32,48,174.281,164.446,164.409,1122.9,1110.0,1133.0,383.2,385.0,68.0,45.0,17
sample,8wave_32x32,49,173.568,165.121,165.084,1125.5,1114.0,1135.0,381.8,385.0,68.0,45.0,17
sample,8wave_32x32,50,156.329,183.329,183.289,1156.1,1120.0,1233.0,390.3,416.0,67.0,45.0,15
sample,8wave_32x32,51,115.458,248.227,248.172,1421.2,1255.0,1550.0,492.2,551.0,68.0,45.0,12
sample,8wave_32x32,52,148.185,193.404,193.362,1494.1,1306.0,1619.0,532.5,583.0,69.0,46.0,14
sample,8wave_32x32,53,179.081,160.038,160.002,1196.1,1124.0,1292.0,415.8,450.0,69.0,46.0,17
sample,8wave_32x32,54,174.214,164.508,164.472,1132.2,1113.0,1145.0,386.6,389.0,69.0,46.0,16
sample,8wave_32x32,55,173.469,165.215,165.178,1128.9,1114.0,1138.0,382.9,386.0,68.0,46.0,17
sample,8wave_32x32,56,168.070,170.523,170.485,1137.7,1118.0,1160.0,384.0,393.0,67.0,45.0,17
sample,8wave_32x32,57,123.444,232.168,232.117,1323.9,1189.0,1464.0,451.3,513.0,68.0,45.0,12
sample,8wave_32x32,58,128.288,223.402,223.352,1547.4,1473.0,1605.0,549.8,578.0,69.0,46.0,12
sample,8wave_32x32,59,179.615,159.562,159.526,1261.8,1146.0,1437.0,440.3,505.0,69.0,46.0,18
sample,8wave_32x32,60,174.101,164.615,164.579,1143.9,1117.0,1168.0,390.9,396.0,69.0,46.0,17
sample,8wave_32x32,61,172.786,165.868,165.832,1137.6,1121.0,1154.0,385.5,388.0,68.0,46.0,17
sample,8wave_32x32,62,172.249,166.386,166.349,1132.2,1124.0,1143.0,383.9,386.0,67.0,46.0,16
sample,8wave_32x32,63,138.529,206.887,206.841,1224.9,1133.0,1361.0,413.2,467.0,67.0,46.0,14
sample,8wave_32x32,64,114.256,250.837,250.781,1504.3,1394.0,1589.0,528.5,572.0,69.0,46.0,11
sample,8wave_32x32,65,174.420,164.315,164.278,1362.7,1190.0,1606.0,479.9,571.0,69.0,46.0,17
sample,8wave_32x32,66,174.551,164.191,164.154,1160.3,1121.0,1200.0,398.3,410.0,69.0,46.0,17
sample,8wave_32x32,67,173.204,165.468,165.431,1133.3,1119.0,1145.0,385.4,388.0,68.0,46.0,17
sample,8wave_32x32,68,172.043,166.585,166.548,1133.6,1127.0,1142.0,384.2,387.0,68.0,46.0,16
sample,8wave_32x32,69,155.909,183.823,183.782,1174.3,1138.0,1252.0,395.4,418.0,67.0,46.0,15
throttle,8wave_32x32,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,4wave_varlen,0,121.743,235.359,235.359,1547.1,1437.0,1618.0,402.8,511.0,66.0,45.0,11
sample,4wave_varlen,1,121.985,234.893,234.893,1665.1,1627.0,1682.0,570.8,608.0,68.0,46.0,12
sample,4wave_varlen,2,175.559,163.213,163.213,1444.4,1261.0,1686.0,513.6,607.0,69.0,46.0,17
sample,4wave_varlen,3,181.412,157.946,157.946,1201.0,1163.0,1252.0,420.5,442.0,69.0,46.0,18
sample,4wave_varlen,4,181.499,157.871,157.871,1158.5,1147.0,1173.0,404.7,408.0,68.0,46.0,18
sample,4wave_varlen,5,181.535,157.839,157.839,1151.7,1145.0,1160.0,400.8,405.0,68.0,46.0,17
sample,4wave_varlen,6,135.580,211.339,211.339,1273.5,1145.0,1460.0,451.2,536.0,68.0,46.0,13
sample,4wave_varlen,7,121.801,235.247,235.247,1589.9,1509.0,1639.0,589.0,616.0,70.0,46.0,11
sample,4wave_varlen,8,162.035,176.834,176.834,1511.3,1322.0,1645.0,557.3,616.0,71.0,46.0,16
sample,4wave_varlen,9,181.326,158.022,158.022,1231.4,1176.0,1309.0,433.8,469.0,71.0,46.0,18
sample,4wave_varlen,10,181.467,157.898,157.898,1165.9,1151.0,1184.0,406.4,413.0,70.0,46.0,17
sample,4wave_varlen,11,181.551,157.826,157.826,1154.0,1147.0,1163.0,402.7,407.0,69.0,46.0,18
sample,4wave_varlen,12,148.188,193.359,193.359,1215.4,1149.0,1385.0,424.9,499.0,69.0,46.0,14
sample,4wave_varlen,13,122.945,233.058,233.058,1530.6,1415.0,1607.0,561.2,601.0,70.0,46.0,12
sample,4wave_varlen,14,148.047,193.543,193.543,1566.5,1398.0,1638.0,577.3,610.0,72.0,46.0,15
sample,4wave_varlen,15,181.447,157.916,157.916,1266.1,1191.0,1378.0,449.1,497.0,72.0,46.0,17
sample,4wave_varlen,16,181.455,157.909,157.909,1171.6,1153.0,1193.0,409.5,422.0,71.0,46.0,18
sample,4wave_varlen,17,181.604,157.779,157.779,1155.0,1147.0,1165.0,402.1,407.0,70.0,46.0,18
sample,4wave_varlen,18,161.504,177.416,177.416,1188.5,1152.0,1316.0,412.8,468.0,69.0,46.0,16
sample,4wave_varlen,19,122.620,233.677,233.677,1490.6,1358.0,1579.0,540.1,587.0,70.0,46.0,11
sample,4wave_varlen,20,134.984,212.273,212.273,1609.8,1513.0,1641.0,595.8,609.0,72.0,46.0,13
sample,4wave_varlen,21,181.787,157.620,157.620,1317.7,1211.0,1486.0,471.1,542.0,72.0,46.0,17
sample,4wave_varlen,22,181.282,158.060,158.060,1182.3,1157.0,1212.0,414.6,427.0,72.0,46.0,18
sample,4wave_varlen,23,181.519,157.853,157.853,1156.9,1148.0,1168.0,403.4,408.0,71.0,46.0,18
sample,4wave_varlen,24,173.356,165.286,165.286,1169.9,1156.0,1187.0,403.6,412.0,70.0,46.0,16
sample,4wave_varlen,25,123.538,231.940,231.940,1415.8,1255.0,1538.0,504.7,565.0,70.0,46.0,11
sample,4wave_varlen,26,124.849,229.503,229.503,1610.9,1554.0,1636.0,594.2,606.0,72.0,46.0,13
sample,4wave_varlen,27,179.226,159.872,159.872,1391.9,1242.0,1619.0,498.4,593.0,72.0,46.0,17
sample,4wave_varlen,28,181.310,158.035,158.035,1196.5,1163.0,1240.0,418.4,438.0,72.0,46.0,18
sample,4wave_varlen,29,181.497,157.872,157.872,1160.5,1150.0,1173.0,404.3,408.0,71.0,46.0,17
sample,4wave_varlen,30,176.575,162.273,162.273,1169.6,1149.0,1179.0,406.2,413.0,70.0,46.0,18
sample,4wave_varlen,31,133.325,214.914,214.914,1335.2,1188.0,1506.0,475.3,555.0,70.0,47.0,13
sample,4wave_varlen,32,123.554,231.910,231.910,1601.0,1531.0,1638.0,591.1,613.0,72.0,47.0,12
sample,4wave_varlen,33,167.547,171.017,171.017,1463.5,1284.0,1648.0,531.4,611.0,72.0,46.0,16
sample,4wave_varlen,34,181.442,157.920,157.920,1213.8,1169.0,1277.0,426.9,454.0,72.0,47.0,18
sample,4wave_varlen,35,181.431,157.930,157.930,1163.5,1151.0,1179.0,405.8,413.0,71.0,47.0,17
sample,4wave_varlen,36,176.577,162.271,162.271,1168.4,1151.0,1176.0,404.9,413.0,71.0,47.0,17
sample,4wave_varlen,37,146.130,196.082,196.082,1250.1,1177.0,1428.0,436.9,520.0,70.0,47.0,15
sample,4wave_varlen,38,122.925,233.097,233.097,1553.2,1460.0,1619.0,570.3,607.0,72.0,47.0,12
sample,4wave_varlen,39,154.875,185.010,185.010,1527.1,1344.0,1639.0,559.8,610.0,73.0,47.0,15
sample,4wave_varlen,40,181.825,157.587,157.587,1240.0,1180.0,1332.0,437.8,477.0,72.0,47.0,17
sample,4wave_varlen,41,181.378,157.976,157.976,1167.1,1151.0,1186.0,407.2,414.0,72.0,47.0,18
sample,4wave_varlen,42,176.614,162.237,162.237,1168.8,1152.0,1177.0,406.4,413.0,71.0,47.0,17
sample,4wave_varlen,43,159.062,180.140,180.140,1208.1,1180.0,1332.0,418.9,477.0,70.0,47.0,16
sample,4wave_varlen,44,123.288,232.411,232.411,1498.8,1369.0,1586.0,546.2,592.0,71.0,47.0,12
sample,4wave_varlen,45,141.609,202.341,202.341,1584.8,1438.0,1641.0,585.6,609.0,73.0,47.0,14
sample,4wave_varlen,46,181.717,157.682,157.682,1281.8,1197.0,1416.0,456.8,513.0,73.0,47.0,17
sample,4wave_varlen,47,181.447,157.916,157.916,1174.8,1154.0,1199.0,411.3,421.0,72.0,47.0,18
sample,4wave_varlen,48,176.802,162.065,162.065,1170.9,1156.0,1178.0,407.0,413.0,71.0,47.0,17
sample,4wave_varlen,49,171.211,167.357,167.357,1188.9,1179.0,1228.0,410.3,428.0,70.0,47.0,17
sample,4wave_varlen,50,123.642,231.745,231.745,1435.4,1270.0,1553.0,513.8,574.0,71.0,47.0,12
sample,4wave_varlen,51,129.033,222.063,222.063,1613.3,1570.0,1638.0,596.5,610.0,73.0,47.0,12
sample,4wave_varlen,52,181.637,157.751,157.751,1352.8,1220.0,1564.0,485.8,576.0,73.0,47.0,18
sample,4wave_varlen,53,181.355,157.996,157.996,1185.1,1158.0,1220.0,415.3,430.0,72.0,47.0,18
sample,4wave_varlen,54,176.826,162.043,162.043,1172.3,1162.0,1177.0,407.4,414.0,71.0,47.0,17
sample,4wave_varlen,55,175.747,163.038,163.038,1182.3,1177.0,1186.0,410.2,415.0,71.0,47.0,17
sample,4wave_varlen,56,131.989,217.088,217.088,1337.5,1190.0,1497.0,470.5,547.0,71.0,47.0,13
sample,4wave_varlen,57,123.467,232.073,232.073,1587.8,1519.0,1633.0,584.2,613.0,72.0,47.0,12
sample,4wave_varlen,58,174.222,164.465,164.465,1421.1,1252.0,1638.0,516.4,609.0,73.0,47.0,17
sample,4wave_varlen,59,181.788,157.620,157.620,1199.1,1158.0,1249.0,423.2,445.0,73.0,47.0,18
sample,4wave_varlen,60,176.709,162.150,162.150,1181.8,1178.0,1186.0,410.5,414.0,72.0,47.0,17
sample,4wave_varlen,61,175.920,162.877,162.877,1183.5,1180.0,1186.0,409.9,416.0,71.0,47.0,17
sample,4wave_varlen,62,144.179,198.735,198.735,1266.4,1189.0,1430.0,442.2,518.0,70.0,47.0,14
sample,4wave_varlen,63,123.538,231.940,231.940,1550.0,1457.0,1614.0,567.3,603.0,72.0,47.0,12
sample,4wave_varlen,64,162.543,176.282,176.282,1484.6,1299.0,1639.0,543.1,608.0,73.0,47.0,16
sample,4wave_varlen,65,181.463,157.902,157.902,1221.2,1175.0,1289.0,432.2,462.0,73.0,47.0,17
sample,4wave_varlen,66,176.622,162.230,162.230,1184.6,1179.0,1189.0,413.9,419.0,72.0,47.0,17
sample,4wave_varlen,67,175.560,163.212,163.212,1186.2,1184.0,1190.0,412.2,416.0,71.0,47.0,17
sample,4wave_varlen,68,156.671,182.889,182.889,1220.9,1189.0,1340.0,422.0,475.0,71.0,47.0,15
sample,4wave_varlen,69,123.680,231.674,231.674,1499.1,1374.0,1585.0,543.2,590.0,72.0,47.0,12
throttle,4wave_varlen,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
output,artifacts/h3-five-kernel/profile-auto-flydsl.json
