preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=295.6,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=triton_fp8,asm_mi308_fp8,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
[aiter] WARNING: NUMA balancing is enabled, which may cause errors. It is recommended to disable NUMA balancing by running "sudo sh -c 'echo 0 > /proc/sys/kernel/numa_balancing'" for more details: https://rocm.docs.amd.com/en/latest/how-to/system-optimization/mi300x.html#disable-numa-auto-balancing
[aiter] import [module_aiter_core] under /sgl-workspace/aiter/aiter/jit/module_aiter_core.so
/sgl-workspace/aiter/aiter/ops/triton/gluon/__init__.py:16: UserWarning: [aiter] AITER_USE_SYSTEM_TRITON=1: aiter gluon kernels require triton>=3.6.0, found 3.4.0. Please install a compatible version via .github/scripts/install_triton.sh, otherwise unexpected errors may occur.
  warnings.warn(
[aiter] import [module_fmha_v3_varlen_fwd] under /sgl-workspace/aiter/aiter/jit/module_fmha_v3_varlen_fwd.so
[aiter] type hints mismatch, override to --> fmha_v3_varlen_fwd(q: torch.Tensor, k: torch.Tensor, v: torch.Tensor, cu_seqlens_q: torch.Tensor, cu_seqlens_k: torch.Tensor, max_seqlen_q: int, max_seqlen_k: int, min_seqlen_q: int, dropout_p: float, softmax_scale: float, logits_soft_cap: float, zero_tensors: bool, is_causal: bool, window_size_left: int, window_size_right: int, return_softmax_lse: bool, return_dropout_randval: bool, how_v3_bf16_cvt: int, out: Optional[torch.Tensor] = None, block_table: Optional[torch.Tensor] = None, bias: Optional[torch.Tensor] = None, alibi_slopes: Optional[torch.Tensor] = None, q_descale: Optional[torch.Tensor] = None, k_descale: Optional[torch.Tensor] = None, v_descale: Optional[torch.Tensor] = None, gen: Optional[torch.Generator] = None, cu_seqlens_q_padded: Optional[torch.Tensor] = None, cu_seqlens_k_padded: Optional[torch.Tensor] = None) -> List[torch.Tensor]
[aiter] pciChipId: 0x74a2, CU count: 80
[aiter] LoadKernel: _ZN5aiter24fmha_fwd_hd128_fp8_groupE hsaco: /sgl-workspace/aiter/hsa//gfx942/fmha_v3_fwd/MI308/fwd_hd128_fp8_group.co
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,triton_fp8,0,162.550,176.274,176.274,1655.3,1517.0,1745.0,376.2,461.0,58.0,43.0,15
sample,triton_fp8,1,162.254,176.596,176.596,1783.9,1753.0,1803.0,487.4,504.0,60.0,44.0,16
sample,triton_fp8,2,161.763,177.131,177.131,1810.6,1806.0,1814.0,510.0,519.0,62.0,44.0,16
sample,triton_fp8,3,163.076,175.706,175.706,1816.0,1816.0,1816.0,521.1,530.0,64.0,44.0,16
sample,triton_fp8,4,162.004,176.868,176.868,1816.1,1816.0,1817.0,525.3,530.0,65.0,44.0,16
sample,triton_fp8,5,162.470,176.361,176.361,1816.6,1816.0,1818.0,523.9,526.0,66.0,44.0,15
sample,triton_fp8,6,162.600,176.220,176.220,1817.1,1816.0,1818.0,525.0,531.0,68.0,44.0,16
sample,triton_fp8,7,163.894,174.829,174.829,1817.4,1816.0,1819.0,527.8,532.0,69.0,44.0,16
sample,triton_fp8,8,165.531,173.100,173.100,1817.1,1816.0,1819.0,523.5,525.0,69.0,44.0,16
sample,triton_fp8,9,162.007,176.865,176.865,1816.8,1816.0,1818.0,519.7,525.0,70.0,44.0,16
sample,triton_fp8,10,162.262,176.587,176.587,1816.6,1816.0,1818.0,522.8,527.0,71.0,45.0,16
sample,triton_fp8,11,163.750,174.982,174.982,1816.2,1815.0,1818.0,520.9,525.0,71.0,45.0,16
sample,triton_fp8,12,163.378,175.381,175.381,1816.5,1816.0,1818.0,528.6,541.0,72.0,45.0,16
sample,triton_fp8,13,163.101,175.679,175.679,1816.4,1816.0,1818.0,532.2,535.0,72.0,45.0,16
sample,triton_fp8,14,162.138,176.722,176.722,1816.3,1815.0,1818.0,528.2,533.0,73.0,45.0,16
sample,triton_fp8,15,163.847,174.879,174.879,1815.6,1815.0,1816.0,528.2,534.0,73.0,45.0,16
sample,triton_fp8,16,161.601,177.309,177.309,1816.1,1815.0,1817.0,523.5,525.0,73.0,45.0,15
sample,triton_fp8,17,162.706,176.105,176.105,1816.2,1816.0,1817.0,523.7,532.0,74.0,45.0,16
sample,triton_fp8,18,162.743,176.065,176.065,1815.8,1815.0,1817.0,523.2,526.0,74.0,45.0,16
sample,triton_fp8,19,162.320,176.524,176.524,1816.0,1815.0,1817.0,521.6,525.0,74.0,45.0,16
sample,triton_fp8,20,161.309,177.631,177.631,1816.0,1815.0,1817.0,518.9,521.0,74.0,45.0,16
sample,triton_fp8,21,163.340,175.421,175.421,1815.7,1815.0,1817.0,520.9,525.0,74.0,45.0,15
sample,triton_fp8,22,163.076,175.705,175.705,1815.2,1815.0,1816.0,522.9,532.0,75.0,45.0,15
sample,triton_fp8,23,161.287,177.655,177.655,1815.8,1815.0,1817.0,522.4,524.0,75.0,45.0,16
sample,triton_fp8,24,161.963,176.913,176.913,1815.6,1815.0,1817.0,522.4,526.0,75.0,45.0,16
sample,triton_fp8,25,162.695,176.117,176.117,1815.4,1815.0,1817.0,526.9,534.0,75.0,45.0,16
sample,triton_fp8,26,169.509,169.037,169.037,1774.9,1723.0,1816.0,522.8,532.0,75.0,45.0,16
sample,triton_fp8,27,163.481,175.270,175.270,1800.3,1787.0,1809.0,524.4,528.0,75.0,46.0,16
sample,triton_fp8,28,163.607,175.136,175.136,1812.9,1812.0,1814.0,523.2,532.0,75.0,45.0,16
sample,triton_fp8,29,161.964,176.912,176.912,1815.1,1815.0,1816.0,523.8,528.0,75.0,45.0,16
sample,triton_fp8,30,162.317,176.527,176.527,1815.3,1815.0,1816.0,526.9,534.0,75.0,46.0,16
sample,triton_fp8,31,161.647,177.259,177.259,1815.2,1815.0,1816.0,529.2,534.0,75.0,45.0,15
