preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=284.2,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_varlen_fp8,4wave_varlen_fp8,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_varlen_fp8,0,83.950,341.316,341.316,1587.0,1506.0,1653.0,358.0,434.0,57.0,44.0,8
sample,8wave_varlen_fp8,1,83.362,343.722,343.722,1702.5,1668.0,1731.0,487.1,522.0,59.0,44.0,8
sample,8wave_varlen_fp8,2,83.476,343.253,343.253,1752.4,1738.0,1764.0,544.2,561.0,60.0,44.0,8
sample,8wave_varlen_fp8,3,83.372,343.680,343.680,1773.2,1768.0,1778.0,570.4,580.0,62.0,44.0,8
sample,8wave_varlen_fp8,4,83.420,343.484,343.484,1781.4,1780.0,1783.0,583.6,590.0,64.0,45.0,8
sample,8wave_varlen_fp8,5,83.396,343.581,343.581,1784.0,1784.0,1784.0,589.9,594.0,65.0,45.0,8
sample,8wave_varlen_fp8,6,83.420,343.485,343.485,1784.8,1784.0,1785.0,593.0,596.0,67.0,45.0,8
sample,8wave_varlen_fp8,7,91.714,312.421,312.421,1757.4,1690.0,1786.0,579.9,594.0,68.0,45.0,9
sample,8wave_varlen_fp8,8,99.792,287.131,287.131,1611.2,1559.0,1668.0,509.6,535.0,69.0,45.0,10
sample,8wave_varlen_fp8,9,99.817,287.060,287.060,1534.3,1513.0,1553.0,471.6,480.0,69.0,46.0,10
sample,8wave_varlen_fp8,10,99.892,286.842,286.842,1508.9,1498.0,1518.0,457.2,460.0,70.0,46.0,10
sample,8wave_varlen_fp8,11,88.466,323.892,323.892,1543.1,1503.0,1606.0,473.8,506.0,70.0,45.0,8
sample,8wave_varlen_fp8,12,83.789,341.969,341.969,1669.6,1625.0,1706.0,532.9,554.0,71.0,45.0,8
sample,8wave_varlen_fp8,13,83.699,342.338,342.338,1736.2,1714.0,1753.0,568.0,579.0,72.0,45.0,9
sample,8wave_varlen_fp8,14,83.712,342.284,342.284,1764.6,1757.0,1771.0,582.9,588.0,73.0,45.0,8
sample,8wave_varlen_fp8,15,83.694,342.357,342.357,1776.2,1773.0,1779.0,589.4,593.0,74.0,46.0,8
sample,8wave_varlen_fp8,16,83.654,342.520,342.520,1780.9,1780.0,1781.0,593.1,597.0,75.0,46.0,8
sample,8wave_varlen_fp8,17,83.666,342.473,342.473,1782.5,1782.0,1783.0,595.5,598.0,76.0,46.0,8
sample,8wave_varlen_fp8,18,85.620,334.658,334.658,1779.1,1753.0,1784.0,593.7,597.0,77.0,46.0,9
sample,8wave_varlen_fp8,19,99.507,287.953,287.953,1662.9,1598.0,1738.0,536.9,572.0,77.0,46.0,9
sample,8wave_varlen_fp8,20,99.853,286.954,286.954,1558.1,1528.0,1587.0,484.0,497.0,77.0,46.0,10
sample,8wave_varlen_fp8,21,99.826,287.034,287.034,1519.2,1505.0,1531.0,462.4,467.0,77.0,46.0,10
sample,8wave_varlen_fp8,22,95.612,299.684,299.684,1514.7,1484.0,1553.0,463.3,487.0,77.0,46.0,9
sample,8wave_varlen_fp8,23,84.273,340.008,340.008,1636.2,1577.0,1684.0,519.4,544.0,77.0,46.0,8
sample,8wave_varlen_fp8,24,83.896,341.536,341.536,1720.4,1696.0,1740.0,559.4,572.0,78.0,46.0,8
sample,8wave_varlen_fp8,25,83.861,341.678,341.678,1758.4,1747.0,1768.0,579.1,587.0,78.0,46.0,9
sample,8wave_varlen_fp8,26,83.847,341.733,341.733,1774.5,1771.0,1778.0,588.2,592.0,79.0,46.0,8
sample,8wave_varlen_fp8,27,83.858,341.687,341.687,1780.5,1779.0,1781.0,592.5,596.0,80.0,46.0,8
sample,8wave_varlen_fp8,28,83.898,341.525,341.525,1783.9,1783.0,1784.0,593.9,596.0,80.0,46.0,8
sample,8wave_varlen_fp8,29,83.876,341.616,341.616,1785.0,1785.0,1785.0,594.5,597.0,81.0,46.0,8
sample,8wave_varlen_fp8,30,94.790,302.281,302.281,1737.8,1662.0,1786.0,571.8,594.0,81.0,46.0,9
sample,8wave_varlen_fp8,31,99.606,287.667,287.667,1598.4,1555.0,1643.0,502.3,524.0,81.0,46.0,10
sample,8wave_varlen_fp8,32,99.714,287.356,287.356,1535.2,1516.0,1550.0,469.3,476.0,81.0,46.0,10
sample,8wave_varlen_fp8,33,98.282,291.541,291.541,1513.1,1506.0,1519.0,458.1,460.0,80.0,46.0,9
sample,8wave_varlen_fp8,34,84.779,337.978,337.978,1605.8,1547.0,1661.0,502.5,531.0,80.0,46.0,8
sample,8wave_varlen_fp8,35,84.065,340.848,340.848,1705.2,1674.0,1731.0,549.0,565.0,80.0,46.0,8
sample,8wave_varlen_fp8,36,83.813,341.871,341.871,1750.8,1737.0,1762.0,574.0,582.0,80.0,46.0,8
sample,8wave_varlen_fp8,37,83.805,341.905,341.905,1771.4,1766.0,1776.0,585.0,590.0,81.0,46.0,8
sample,8wave_varlen_fp8,38,83.841,341.758,341.758,1779.2,1778.0,1781.0,590.2,594.0,81.0,46.0,8
sample,8wave_varlen_fp8,39,83.804,341.910,341.910,1783.4,1782.0,1785.0,594.0,597.0,82.0,46.0,9
sample,8wave_varlen_fp8,40,83.793,341.956,341.956,1786.2,1786.0,1787.0,596.8,600.0,83.0,47.0,8
sample,8wave_varlen_fp8,41,89.962,318.506,318.506,1763.6,1700.0,1788.0,586.0,598.0,83.0,46.0,9
sample,8wave_varlen_fp8,42,99.545,287.844,287.844,1629.2,1579.0,1687.0,517.9,545.0,83.0,46.0,9
sample,8wave_varlen_fp8,43,99.650,287.541,287.541,1548.5,1525.0,1569.0,477.0,486.0,82.0,47.0,10
sample,8wave_varlen_fp8,44,98.641,290.481,290.481,1523.4,1515.0,1527.0,463.3,465.0,82.0,46.0,10
sample,8wave_varlen_fp8,45,89.028,321.847,321.847,1556.6,1518.0,1609.0,476.9,503.0,81.0,46.0,8
sample,8wave_varlen_fp8,46,84.107,340.677,340.677,1668.9,1627.0,1705.0,530.4,550.0,81.0,47.0,8
sample,8wave_varlen_fp8,47,83.853,341.710,341.710,1739.1,1721.0,1754.0,567.9,578.0,82.0,47.0,8
sample,8wave_varlen_fp8,48,88.167,324.991,324.991,1734.6,1710.0,1760.0,573.9,580.0,82.0,47.0,8
sample,8wave_varlen_fp8,49,84.319,339.822,339.822,1755.9,1745.0,1764.0,582.5,589.0,82.0,47.0,8
sample,8wave_varlen_fp8,50,83.977,341.207,341.207,1772.8,1769.0,1776.0,590.4,594.0,83.0,47.0,8
sample,8wave_varlen_fp8,51,83.804,341.908,341.908,1780.8,1779.0,1783.0,594.2,597.0,83.0,47.0,8
sample,8wave_varlen_fp8,52,83.663,342.484,342.484,1785.4,1784.0,1787.0,596.4,598.0,84.0,47.0,8
sample,8wave_varlen_fp8,53,96.244,297.715,297.715,1722.1,1645.0,1787.0,564.8,595.0,84.0,47.0,9
sample,8wave_varlen_fp8,54,99.725,287.324,287.324,1587.5,1548.0,1630.0,498.3,518.0,84.0,47.0,10
sample,8wave_varlen_fp8,55,98.628,290.520,290.520,1537.6,1523.0,1546.0,472.2,475.0,83.0,47.0,10
