preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,174.881,163.881,163.845,1108.4,1108.0,1109.0,308.6,361.0,56.0,46.0,16
sample,8wave_32x32,1,174.514,164.226,164.190,1109.0,1109.0,1109.0,379.2,391.0,57.0,46.0,16
sample,8wave_32x32,2,174.462,164.275,164.238,1109.0,1109.0,1109.0,391.8,396.0,59.0,46.0,16
sample,8wave_32x32,3,174.585,164.159,164.123,1109.0,1109.0,1109.0,394.4,397.0,60.0,46.0,16
sample,8wave_32x32,4,174.545,164.196,164.160,1109.3,1109.0,1110.0,395.0,398.0,61.0,47.0,17
sample,8wave_32x32,5,174.509,164.230,164.194,1109.0,1109.0,1109.0,395.9,398.0,61.0,47.0,16
sample,8wave_32x32,6,174.611,164.135,164.098,1109.8,1109.0,1110.0,395.9,398.0,62.0,47.0,16
sample,8wave_32x32,7,174.464,164.273,164.236,1110.0,1110.0,1110.0,395.2,397.0,63.0,47.0,17
sample,8wave_32x32,8,174.496,164.242,164.206,1109.5,1109.0,1110.0,395.1,397.0,63.0,47.0,17
sample,8wave_32x32,9,174.400,164.333,164.297,1109.8,1109.0,1110.0,394.7,397.0,64.0,47.0,17
sample,8wave_32x32,10,174.463,164.274,164.237,1109.0,1109.0,1109.0,395.2,398.0,64.0,47.0,17
sample,8wave_32x32,11,174.397,164.336,164.300,1109.3,1109.0,1110.0,395.5,398.0,64.0,47.0,17
sample,8wave_32x32,12,174.389,164.343,164.307,1110.0,1110.0,1110.0,395.9,398.0,65.0,47.0,17
sample,8wave_32x32,13,174.362,164.369,164.333,1110.0,1110.0,1110.0,395.6,398.0,65.0,47.0,17
sample,8wave_32x32,14,174.411,164.323,164.287,1110.0,1110.0,1110.0,395.6,398.0,65.0,47.0,17
sample,8wave_32x32,15,177.729,161.255,161.220,1108.7,1086.0,1110.0,395.3,399.0,65.0,47.0,18
sample,8wave_32x32,16,174.593,164.152,164.115,1099.5,1089.0,1106.0,393.1,397.0,65.0,47.0,17
sample,8wave_32x32,17,174.451,164.285,164.248,1108.1,1106.0,1109.0,395.4,398.0,65.0,47.0,17
sample,8wave_32x32,18,174.509,164.231,164.194,1109.9,1109.0,1110.0,395.8,399.0,66.0,47.0,17
sample,8wave_32x32,19,174.405,164.329,164.292,1110.0,1110.0,1110.0,396.0,398.0,66.0,47.0,17
sample,8wave_32x32,20,174.345,164.385,164.349,1110.0,1110.0,1110.0,395.8,399.0,66.0,47.0,17
sample,8wave_32x32,21,174.367,164.365,164.328,1110.0,1110.0,1110.0,395.5,398.0,66.0,47.0,17
