preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=triton,asm_mi308,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
[aiter] WARNING: NUMA balancing is enabled, which may cause errors. It is recommended to disable NUMA balancing by running "sudo sh -c 'echo 0 > /proc/sys/kernel/numa_balancing'" for more details: https://rocm.docs.amd.com/en/latest/how-to/system-optimization/mi300x.html#disable-numa-auto-balancing
[aiter] import [module_aiter_core] under /sgl-workspace/aiter/aiter/jit/module_aiter_core.so
/sgl-workspace/aiter/aiter/ops/triton/gluon/__init__.py:16: UserWarning: [aiter] AITER_USE_SYSTEM_TRITON=1: aiter gluon kernels require triton>=3.6.0, found 3.4.0. Please install a compatible version via .github/scripts/install_triton.sh, otherwise unexpected errors may occur.
  warnings.warn(
[aiter] import [module_fmha_v3_varlen_fwd] under /sgl-workspace/aiter/aiter/jit/module_fmha_v3_varlen_fwd.so
[aiter] type hints mismatch, override to --> fmha_v3_varlen_fwd(q: torch.Tensor, k: torch.Tensor, v: torch.Tensor, cu_seqlens_q: torch.Tensor, cu_seqlens_k: torch.Tensor, max_seqlen_q: int, max_seqlen_k: int, min_seqlen_q: int, dropout_p: float, softmax_scale: float, logits_soft_cap: float, zero_tensors: bool, is_causal: bool, window_size_left: int, window_size_right: int, return_softmax_lse: bool, return_dropout_randval: bool, how_v3_bf16_cvt: int, out: Optional[torch.Tensor] = None, block_table: Optional[torch.Tensor] = None, bias: Optional[torch.Tensor] = None, alibi_slopes: Optional[torch.Tensor] = None, q_descale: Optional[torch.Tensor] = None, k_descale: Optional[torch.Tensor] = None, v_descale: Optional[torch.Tensor] = None, gen: Optional[torch.Generator] = None, cu_seqlens_q_padded: Optional[torch.Tensor] = None, cu_seqlens_k_padded: Optional[torch.Tensor] = None) -> List[torch.Tensor]
[aiter] pciChipId: 0x74a2, CU count: 80
[aiter] LoadKernel: _ZN5aiter30fmha_fwd_hd128_bf16_rtna_groupE hsaco: /sgl-workspace/aiter/hsa//gfx942/fmha_v3_fwd/MI308/fwd_hd128_bf16_rtna_group.co
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,triton,0,207.757,137.918,137.918,1549.7,1477.0,1592.0,401.9,479.0,61.0,46.0,20
sample,triton,1,207.185,138.299,138.299,1605.0,1594.0,1611.0,499.7,513.0,63.0,46.0,20
sample,triton,2,210.291,136.256,136.256,1610.8,1576.0,1613.0,513.0,517.0,64.0,47.0,20
sample,triton,3,207.811,137.882,137.882,1599.4,1580.0,1609.0,511.2,517.0,66.0,47.0,21
sample,triton,4,207.280,138.235,138.235,1611.7,1610.0,1613.0,516.0,519.0,67.0,47.0,20
sample,triton,5,207.139,138.329,138.329,1613.0,1613.0,1613.0,517.5,520.0,68.0,47.0,20
sample,triton,6,207.128,138.337,138.337,1613.2,1613.0,1614.0,517.6,521.0,69.0,47.0,20
sample,triton,7,207.128,138.337,138.337,1613.8,1613.0,1614.0,517.9,521.0,70.0,47.0,20
sample,triton,8,207.253,138.253,138.253,1614.0,1614.0,1614.0,518.4,521.0,70.0,48.0,21
sample,triton,9,207.195,138.292,138.292,1613.3,1613.0,1614.0,518.6,521.0,71.0,47.0,20
sample,triton,10,207.086,138.364,138.364,1613.0,1613.0,1613.0,519.0,521.0,71.0,48.0,20
sample,triton,11,210.370,136.205,136.205,1611.2,1575.0,1613.0,518.1,520.0,72.0,48.0,21
sample,triton,12,207.625,138.005,138.005,1598.2,1579.0,1609.0,514.6,520.0,72.0,48.0,20
sample,triton,13,207.211,138.281,138.281,1611.5,1609.0,1613.0,518.2,521.0,72.0,48.0,20
sample,triton,14,207.293,138.226,138.226,1613.0,1613.0,1613.0,519.0,522.0,72.0,48.0,20
sample,triton,15,207.220,138.275,138.275,1613.0,1613.0,1613.0,519.5,522.0,73.0,48.0,20
sample,triton,16,207.185,138.299,138.299,1613.0,1613.0,1613.0,519.6,523.0,73.0,48.0,21
sample,triton,17,207.231,138.268,138.268,1613.0,1613.0,1613.0,519.6,522.0,73.0,48.0,20
sample,triton,18,207.163,138.313,138.313,1613.0,1613.0,1613.0,520.4,522.0,73.0,48.0,20
sample,triton,19,207.226,138.271,138.271,1613.0,1613.0,1614.0,519.4,522.0,73.0,48.0,20
sample,triton,20,207.068,138.377,138.377,1613.0,1613.0,1613.0,519.5,522.0,73.0,48.0,20
sample,triton,21,207.559,138.049,138.049,1613.2,1613.0,1614.0,518.8,522.0,73.0,48.0,21
sample,triton,22,207.263,138.246,138.246,1613.0,1613.0,1614.0,519.5,522.0,74.0,48.0,20
sample,triton,23,207.195,138.292,138.292,1613.2,1613.0,1614.0,519.5,522.0,74.0,48.0,20
sample,triton,24,207.144,138.326,138.326,1613.0,1613.0,1613.0,520.3,523.0,74.0,48.0,20
sample,triton,25,207.732,137.934,137.934,1613.0,1613.0,1613.0,519.1,522.0,74.0,48.0,20
sample,triton,26,207.195,138.292,138.292,1612.8,1612.0,1613.0,520.2,523.0,74.0,48.0,21
sample,triton,27,207.162,138.314,138.314,1612.0,1612.0,1613.0,520.0,522.0,74.0,48.0,20
sample,triton,28,207.169,138.309,138.309,1612.6,1612.0,1613.0,520.0,523.0,74.0,48.0,20
sample,triton,29,207.227,138.270,138.270,1613.0,1612.0,1613.0,519.2,522.0,74.0,48.0,20
sample,triton,30,207.058,138.383,138.383,1613.0,1613.0,1613.0,519.4,523.0,74.0,48.0,20
sample,triton,31,210.468,136.141,136.141,1599.1,1577.0,1613.0,517.0,520.0,74.0,48.0,21
sample,triton,32,207.566,138.044,138.044,1609.7,1606.0,1612.0,518.8,523.0,74.0,48.0,20
sample,triton,33,207.068,138.377,138.377,1612.8,1612.0,1613.0,520.0,523.0,74.0,48.0,20
sample,triton,34,207.117,138.344,138.344,1613.0,1613.0,1613.0,520.0,523.0,74.0,48.0,20
sample,triton,35,207.195,138.292,138.292,1613.0,1613.0,1613.0,520.0,522.0,74.0,48.0,20
sample,triton,36,207.109,138.349,138.349,1613.7,1613.0,1614.0,520.4,523.0,74.0,48.0,20
sample,triton,37,207.148,138.323,138.323,1613.6,1613.0,1614.0,520.6,523.0,74.0,48.0,20
sample,triton,38,207.181,138.301,138.301,1613.9,1613.0,1614.0,520.1,522.0,74.0,48.0,20
sample,triton,39,207.242,138.261,138.261,1613.7,1613.0,1614.0,519.7,522.0,74.0,48.0,20
sample,triton,40,207.311,138.215,138.215,1613.6,1613.0,1614.0,519.4,522.0,74.0,48.0,21
sample,triton,41,207.257,138.250,138.250,1613.1,1613.0,1614.0,520.7,523.0,74.0,48.0,20
sample,triton,42,207.566,138.045,138.045,1613.0,1613.0,1613.0,519.7,522.0,74.0,48.0,20
sample,triton,43,207.261,138.247,138.247,1613.0,1613.0,1613.0,519.8,522.0,74.0,48.0,20
sample,triton,44,207.222,138.274,138.274,1613.0,1613.0,1614.0,520.0,522.0,74.0,48.0,20
sample,triton,45,207.060,138.382,138.382,1613.5,1613.0,1614.0,519.6,522.0,74.0,48.0,20
sample,triton,46,207.144,138.326,138.326,1613.2,1613.0,1614.0,519.7,522.0,74.0,48.0,20
sample,triton,47,207.353,138.186,138.186,1613.0,1613.0,1613.0,520.0,523.0,74.0,48.0,20
sample,triton,48,207.104,138.353,138.353,1613.1,1613.0,1614.0,519.8,523.0,74.0,48.0,20
sample,triton,49,207.164,138.312,138.312,1614.0,1614.0,1614.0,520.7,523.0,74.0,48.0,20
