preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=asm_mi300,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
[aiter] WARNING: NUMA balancing is enabled, which may cause errors. It is recommended to disable NUMA balancing by running "sudo sh -c 'echo 0 > /proc/sys/kernel/numa_balancing'" for more details: https://rocm.docs.amd.com/en/latest/how-to/system-optimization/mi300x.html#disable-numa-auto-balancing
[aiter] import [module_aiter_core] under /sgl-workspace/aiter/aiter/jit/module_aiter_core.so
/sgl-workspace/aiter/aiter/ops/triton/gluon/__init__.py:16: UserWarning: [aiter] AITER_USE_SYSTEM_TRITON=1: aiter gluon kernels require triton>=3.6.0, found 3.4.0. Please install a compatible version via .github/scripts/install_triton.sh, otherwise unexpected errors may occur.
  warnings.warn(
[aiter] import [module_fmha_v3_varlen_fwd] under /sgl-workspace/aiter/aiter/jit/module_fmha_v3_varlen_fwd.so
[aiter] type hints mismatch, override to --> fmha_v3_varlen_fwd(q: torch.Tensor, k: torch.Tensor, v: torch.Tensor, cu_seqlens_q: torch.Tensor, cu_seqlens_k: torch.Tensor, max_seqlen_q: int, max_seqlen_k: int, min_seqlen_q: int, dropout_p: float, softmax_scale: float, logits_soft_cap: float, zero_tensors: bool, is_causal: bool, window_size_left: int, window_size_right: int, return_softmax_lse: bool, return_dropout_randval: bool, how_v3_bf16_cvt: int, out: Optional[torch.Tensor] = None, block_table: Optional[torch.Tensor] = None, bias: Optional[torch.Tensor] = None, alibi_slopes: Optional[torch.Tensor] = None, q_descale: Optional[torch.Tensor] = None, k_descale: Optional[torch.Tensor] = None, v_descale: Optional[torch.Tensor] = None, gen: Optional[torch.Generator] = None, cu_seqlens_q_padded: Optional[torch.Tensor] = None, cu_seqlens_k_padded: Optional[torch.Tensor] = None) -> List[torch.Tensor]
[aiter] pciChipId: 0x74a2, CU count: 80
[aiter] LoadKernel: _ZN5aiter30fmha_fwd_hd128_bf16_rtna_groupE hsaco: /sgl-workspace/aiter/hsa//gfx942/fmha_v3_fwd/MI308/fwd_hd128_bf16_rtna_group.co
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,asm_mi300,0,146.175,196.021,196.021,1559.4,1453.0,1629.0,406.5,492.0,59.0,43.0,14
sample,asm_mi300,1,149.030,192.265,192.265,1655.2,1636.0,1674.0,535.8,570.0,62.0,43.0,14
sample,asm_mi300,2,152.586,187.786,187.786,1649.6,1590.0,1674.0,556.7,583.0,64.0,44.0,15
sample,asm_mi300,3,189.454,151.242,151.242,1428.7,1306.0,1606.0,476.6,527.0,65.0,44.0,19
sample,asm_mi300,4,189.397,151.288,151.288,1323.1,1262.0,1405.0,437.6,452.0,66.0,44.0,18
sample,asm_mi300,5,188.986,151.616,151.616,1308.9,1257.0,1376.0,431.3,441.0,66.0,44.0,18
sample,asm_mi300,6,146.785,195.206,195.206,1494.5,1325.0,1591.0,501.7,550.0,68.0,44.0,15
sample,asm_mi300,7,148.484,192.973,192.973,1635.9,1601.0,1661.0,556.9,580.0,70.0,44.0,14
sample,asm_mi300,8,152.036,188.464,188.464,1645.1,1591.0,1672.0,560.8,587.0,72.0,45.0,15
sample,asm_mi300,9,189.474,151.226,151.226,1431.4,1305.0,1606.0,480.3,530.0,72.0,44.0,18
sample,asm_mi300,10,191.826,149.372,149.372,1319.2,1241.0,1404.0,437.9,453.0,72.0,44.0,18
sample,asm_mi300,11,186.631,153.530,153.530,1317.8,1263.0,1385.0,436.9,450.0,72.0,44.0,18
sample,asm_mi300,12,146.990,194.934,194.934,1498.8,1334.0,1589.0,505.0,553.0,72.0,44.0,15
sample,asm_mi300,13,148.274,193.246,193.246,1635.4,1600.0,1661.0,559.0,582.0,74.0,45.0,14
sample,asm_mi300,14,155.059,184.790,184.790,1635.6,1555.0,1670.0,559.4,585.0,75.0,45.0,15
sample,asm_mi300,15,189.499,151.206,151.206,1414.8,1300.0,1577.0,475.2,520.0,75.0,45.0,19
sample,asm_mi300,16,188.897,151.688,151.688,1320.2,1260.0,1399.0,438.1,452.0,75.0,45.0,18
sample,asm_mi300,17,185.850,154.174,154.174,1326.8,1267.0,1401.0,439.9,455.0,74.0,45.0,18
sample,asm_mi300,18,147.753,193.928,193.928,1499.5,1340.0,1580.0,504.6,552.0,74.0,45.0,15
sample,asm_mi300,19,147.773,193.901,193.901,1631.6,1591.0,1657.0,556.8,581.0,75.0,45.0,14
sample,asm_mi300,20,154.949,184.922,184.922,1636.8,1555.0,1672.0,559.7,587.0,76.0,45.0,15
sample,asm_mi300,21,189.402,151.283,151.283,1415.0,1300.0,1580.0,474.6,521.0,76.0,45.0,19
sample,asm_mi300,22,188.999,151.606,151.606,1320.0,1260.0,1400.0,438.9,452.0,76.0,45.0,18
sample,asm_mi300,23,185.602,154.381,154.381,1328.4,1267.0,1402.0,441.1,457.0,75.0,45.0,18
sample,asm_mi300,24,148.555,192.881,192.881,1494.9,1349.0,1577.0,504.8,551.0,75.0,45.0,14
sample,asm_mi300,25,147.582,194.152,194.152,1623.8,1573.0,1654.0,554.0,583.0,76.0,45.0,15
sample,asm_mi300,26,154.966,184.901,184.901,1636.5,1555.0,1671.0,561.9,588.0,77.0,45.0,15
sample,asm_mi300,27,189.138,151.495,151.495,1417.1,1302.0,1580.0,477.3,523.0,77.0,45.0,18
sample,asm_mi300,28,188.849,151.726,151.726,1323.4,1261.0,1403.0,439.0,454.0,76.0,45.0,19
sample,asm_mi300,29,185.644,154.346,154.346,1328.2,1268.0,1402.0,440.5,456.0,75.0,45.0,18
sample,asm_mi300,30,152.049,188.449,188.449,1497.7,1355.0,1574.0,504.3,547.0,75.0,45.0,15
sample,asm_mi300,31,145.988,196.272,196.272,1614.1,1552.0,1654.0,550.3,580.0,76.0,45.0,14
sample,asm_mi300,32,153.550,186.606,186.606,1650.9,1575.0,1680.0,566.5,590.0,77.0,45.0,15
sample,asm_mi300,33,188.952,151.644,151.644,1426.1,1306.0,1596.0,479.6,527.0,77.0,45.0,18
sample,asm_mi300,34,188.526,151.986,151.986,1328.9,1264.0,1410.0,441.0,457.0,76.0,45.0,19
sample,asm_mi300,35,185.845,154.179,154.179,1327.8,1266.0,1402.0,442.2,457.0,75.0,45.0,18
sample,asm_mi300,36,152.115,188.366,188.366,1492.9,1358.0,1564.0,504.4,545.0,75.0,45.0,15
sample,asm_mi300,37,146.393,195.729,195.729,1610.7,1548.0,1645.0,550.1,578.0,76.0,46.0,14
sample,asm_mi300,38,153.416,186.769,186.769,1646.4,1575.0,1677.0,562.5,586.0,77.0,46.0,15
sample,asm_mi300,39,189.059,151.558,151.558,1424.9,1307.0,1594.0,478.2,523.0,77.0,45.0,18
sample,asm_mi300,40,188.018,152.397,152.397,1332.0,1266.0,1415.0,441.4,460.0,76.0,45.0,19
